@relation horse-colic-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute surgery {yes,no}
@attribute Age {adult,young}
@attribute rectal_temperature {'\'All\''}
@attribute pulse {'\'(-inf-58]\'','\'(58-inf)\''}
@attribute respiratory_rate {'\'(-inf-59]\'','\'(59-inf)\''}
@attribute temp_extremities {normal,warm,cool,cold}
@attribute peripheral_pulse {normal,increased,reduced,absent}
@attribute mucous_membranes {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute capillary_refill_time {<3,>=3,'meaning unknown'}
@attribute pain {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute peristalsis {hypermotile,normal,hypomotile,absent}
@attribute abdominal_distension {none,slight,moderate,severe}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {none,>1l,<1l}
@attribute nasogastric_reflux_PH {'\'All\''}
@attribute rectal_examination {normal,increased,decreased,absent}
@attribute abdomen {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute packed_cell_volume {'\'(-inf-49.5]\'','\'(49.5-inf)\''}
@attribute total_protein {'\'All\''}
@attribute abdominocentesis_appearance {clear,cloudy,serosanguinous}
@attribute abdomcentesis_total_protein {'\'All\''}
@attribute outcome {lived,died,euthanized}
@attribute surgical_lesion {yes,no}

@data
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,normal,?,<3,'continuous severe pain',hypomotile,?,?,?,?,?,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,euthanized,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,?,?,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'bright pink',<3,'alert no pain',normal,none,none,none,?,normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,?,'\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'pale cyanotic',<3,'continuous severe pain',hypomotile,moderate,slight,<1l,'\'All\'',?,'distended small intestine','\'(-inf-49.5]\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,?,?,>=3,?,hypomotile,moderate,?,?,?,normal,?,?,?,?,?,lived,yes
yes,young,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',normal,reduced,'bright pink',<3,depressed,hypomotile,severe,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',clear,?,lived,yes
no,adult,?,'\'(58-inf)\'',?,cool,reduced,'pale pink',>=3,'continuous severe pain',absent,severe,?,none,?,absent,'distended large intestine','\'(49.5-inf)\'',?,?,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,?,'pale pink',<3,'intermittent severe pain',normal,severe,slight,>1l,'\'All\'',normal,'distended large intestine','\'(-inf-49.5]\'','\'All\'',clear,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',<3,'continuous severe pain',absent,moderate,slight,none,?,decreased,'distended small intestine','\'(-inf-49.5]\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',warm,reduced,'pale cyanotic',<3,'intermittent severe pain',hypomotile,moderate,slight,?,?,decreased,'distended small intestine',?,?,serosanguinous,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'',?,warm,?,'normal pink',>=3,'intermittent mild pain',hypomotile,none,slight,none,?,?,other,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,absent,'dark cyanotic',<3,depressed,absent,none,none,<1l,'\'All\'',?,'distended small intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',euthanized,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,reduced,'bright pink',<3,'alert no pain',absent,none,none,none,?,?,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,died,yes
yes,young,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'bright pink',<3,depressed,hypomotile,severe,none,none,?,absent,'distended small intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,?,died,yes
no,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,slight,?,?,?,absent,?,'\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',lived,no
yes,adult,?,'\'(58-inf)\'',?,cool,reduced,'pale pink',<3,'intermittent severe pain',absent,severe,?,?,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,young,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',normal,?,'normal pink',<3,'intermittent severe pain',hypermotile,moderate,?,?,?,increased,?,'\'(-inf-49.5]\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'',?,warm,normal,'normal pink',<3,depressed,hypermotile,none,none,none,?,normal,?,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',euthanized,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',<3,?,absent,?,?,<1l,'\'All\'',?,?,'\'(49.5-inf)\'','\'All\'',?,?,died,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,depressed,hypomotile,slight,slight,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'normal pink',<3,depressed,hypomotile,none,slight,none,?,?,?,'\'(49.5-inf)\'','\'All\'',serosanguinous,?,died,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,normal,'normal pink',<3,'intermittent severe pain',hypomotile,slight,none,none,?,absent,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'normal pink',<3,'alert no pain',?,slight,slight,none,?,?,other,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,young,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,?,?,?,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,'pale pink',>=3,'intermittent severe pain',absent,slight,slight,<1l,'\'All\'',absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',died,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'bright pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,?,normal,'distended large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,?,'\'(-inf-58]\'','\'(59-inf)\'',cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,?,normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,euthanized,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',warm,normal,'pale pink',<3,'intermittent mild pain',hypomotile,slight,none,none,?,normal,'distended large intestine','\'(-inf-49.5]\'','\'All\'',clear,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'bright pink',<3,depressed,hypomotile,slight,?,<1l,'\'All\'',?,'distended small intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,?,lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,'normal pink',<3,?,hypomotile,?,?,?,?,decreased,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',warm,reduced,'normal pink',<3,?,hypomotile,none,none,>1l,'\'All\'',normal,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'normal pink',<3,'intermittent mild pain',hypomotile,slight,slight,>1l,'\'All\'',decreased,'distended small intestine','\'(-inf-49.5]\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'',?,cool,reduced,'dark cyanotic',<3,'continuous severe pain',absent,none,slight,<1l,?,decreased,normal,'\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',lived,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,significant,<1l,?,absent,'distended small intestine','\'(49.5-inf)\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale pink',<3,'continuous severe pain',hypomotile,moderate,none,none,?,?,?,'\'(49.5-inf)\'','\'All\'',serosanguinous,?,died,yes
yes,adult,?,'\'(58-inf)\'',?,?,reduced,?,?,?,absent,severe,?,?,?,?,'distended large intestine',?,?,?,?,euthanized,yes
yes,young,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,reduced,'dark cyanotic',>=3,'continuous severe pain',hypomotile,slight,none,none,?,?,?,'\'(49.5-inf)\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,'intermittent severe pain',normal,slight,significant,<1l,'\'All\'',decreased,?,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',euthanized,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,reduced,'pale pink',<3,'alert no pain',hypomotile,slight,significant,none,'\'All\'',?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'alert no pain',hypermotile,none,?,?,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cold,reduced,'normal pink',<3,depressed,absent,moderate,slight,>1l,'\'All\'',?,?,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,'normal pink',?,'alert no pain',hypermotile,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(58-inf)\'',?,cool,reduced,'bright red',<3,depressed,hypomotile,none,none,none,?,absent,normal,'\'(49.5-inf)\'','\'All\'',?,?,died,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,absent,'bright red',>=3,depressed,hypomotile,slight,slight,none,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,?,?,?,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'',?,normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,none,slight,none,?,normal,?,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',clear,?,lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'normal pink',>=3,'intermittent severe pain',?,moderate,none,<1l,?,?,?,'\'(49.5-inf)\'','\'All\'',?,?,euthanized,yes
no,young,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,?,<3,?,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,normal,'normal pink',<3,'intermittent mild pain',normal,slight,?,?,?,decreased,?,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'bright pink',<3,'alert no pain',hypermotile,?,?,?,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale pink',<3,depressed,hypomotile,moderate,slight,>1l,'\'All\'',decreased,normal,'\'(49.5-inf)\'','\'All\'',serosanguinous,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,reduced,'bright pink',<3,'intermittent severe pain',hypomotile,moderate,none,?,?,normal,'distended large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,?,died,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale pink',<3,?,hypomotile,?,slight,none,?,?,'distended small intestine','\'(-inf-49.5]\'','\'All\'',?,'\'All\'',euthanized,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,depressed,hypermotile,none,?,?,?,decreased,other,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,?,'\'(58-inf)\'','\'(59-inf)\'',cold,?,'pale cyanotic',>=3,depressed,absent,?,?,?,?,?,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,euthanized,no
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,increased,'pale cyanotic',>=3,'intermittent severe pain',hypomotile,moderate,significant,none,?,absent,'distended small intestine','\'(-inf-49.5]\'',?,serosanguinous,'\'All\'',euthanized,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'pale cyanotic',<3,'intermittent severe pain',absent,moderate,slight,none,?,decreased,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale pink',<3,'intermittent mild pain',hypomotile,moderate,significant,none,?,absent,'distended small intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,?,?,?,?,?,?,?,?,absent,normal,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',euthanized,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,normal,'bright pink',>=3,'intermittent mild pain',absent,none,slight,>1l,'\'All\'',?,other,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,'normal pink',<3,?,hypomotile,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,absent,'pale pink',>=3,'continuous severe pain',absent,severe,none,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'pale cyanotic',>=3,'intermittent severe pain',absent,moderate,none,none,?,?,?,'\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',euthanized,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,?,'pale pink',<3,'alert no pain',?,none,?,?,?,?,other,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,?,'normal pink',<3,?,absent,?,significant,>1l,?,?,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',cool,increased,'bright pink',<3,'intermittent mild pain',normal,none,slight,>1l,?,normal,normal,'\'(49.5-inf)\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'bright pink',<3,'intermittent mild pain',?,none,slight,?,?,increased,?,'\'(-inf-49.5]\'','\'All\'',clear,?,lived,no
?,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,normal,'pale cyanotic',>=3,depressed,?,?,?,?,?,?,'distended large intestine',?,?,?,?,?,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,reduced,'pale pink',>=3,depressed,hypomotile,none,slight,none,?,decreased,?,'\'(-inf-49.5]\'','\'All\'',serosanguinous,?,lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'bright red',<3,depressed,absent,slight,none,>1l,'\'All\'',?,'distended small intestine','\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'pale pink',>=3,'intermittent mild pain',hypomotile,slight,significant,<1l,?,absent,'distended small intestine','\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',lived,no
yes,adult,?,'\'(58-inf)\'',?,?,?,'pale cyanotic',>=3,'continuous severe pain',absent,severe,none,none,?,?,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,died,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',cool,reduced,'pale pink',<3,'continuous severe pain',absent,severe,slight,>1l,'\'All\'',absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'pale pink',<3,'intermittent mild pain',?,slight,slight,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,no
no,young,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'bright pink',<3,'alert no pain',hypomotile,slight,significant,?,'\'All\'',?,?,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',warm,reduced,'normal pink',<3,depressed,absent,moderate,significant,>1l,'\'All\'',absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,depressed,hypermotile,?,none,none,?,decreased,other,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',warm,reduced,'pale pink',<3,'intermittent severe pain',hypomotile,moderate,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',clear,?,died,yes
no,young,?,'\'(58-inf)\'','\'(59-inf)\'',cold,absent,'pale cyanotic',>=3,'continuous severe pain',absent,severe,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,'dark cyanotic',>=3,'intermittent severe pain',absent,moderate,none,?,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,euthanized,yes
yes,adult,'\'All\'','\'(58-inf)\'',?,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,moderate,slight,none,?,absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'pale pink',<3,'intermittent mild pain',normal,moderate,slight,none,?,?,'distended large intestine','\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'bright red',>=3,'intermittent severe pain',hypomotile,moderate,slight,<1l,'\'All\'',absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,?,'pale cyanotic',>=3,'continuous severe pain',hypomotile,none,none,<1l,'\'All\'',?,'distended small intestine','\'(49.5-inf)\'','\'All\'',?,'\'All\'',died,yes
no,adult,'\'All\'','\'(-inf-58]\'',?,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,?,?,?,normal,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,?,?,?,normal,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'pale pink',<3,'alert no pain',hypomotile,slight,slight,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'',?,normal,?,'pale pink',<3,depressed,hypermotile,none,none,none,?,absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',?,'intermittent mild pain',normal,none,none,none,?,decreased,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,normal,'normal pink',?,depressed,hypomotile,?,?,?,?,absent,'distended small intestine',?,?,?,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,?,hypermotile,none,slight,none,?,absent,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'',?,cold,reduced,'bright red',>=3,depressed,absent,moderate,slight,<1l,'\'All\'',?,?,'\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'',?,warm,reduced,'bright pink',<3,'continuous severe pain',hypomotile,moderate,none,>1l,'\'All\'',normal,'distended large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(58-inf)\'',?,?,?,'dark cyanotic',?,?,?,?,?,?,?,?,?,?,?,?,?,died,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale pink',<3,?,?,?,?,?,'\'All\'',?,?,'\'(-inf-49.5]\'','\'All\'',?,'\'All\'',lived,yes
yes,adult,?,?,?,cool,normal,'normal pink',<3,depressed,hypomotile,moderate,none,<1l,'\'All\'',absent,'distended small intestine',?,?,cloudy,?,died,yes
yes,adult,'\'All\'','\'(-inf-58]\'',?,normal,normal,'normal pink',<3,'alert no pain',hypermotile,none,?,?,?,normal,normal,?,?,cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'',?,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'pale pink',<3,'alert no pain',hypomotile,none,?,?,?,normal,?,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,reduced,'pale pink',?,?,hypermotile,none,slight,none,?,absent,?,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,reduced,'bright pink',>=3,depressed,absent,none,slight,?,?,absent,?,?,?,?,?,lived,no
yes,adult,?,'\'(-inf-58]\'','\'(59-inf)\'',normal,normal,'pale pink',<3,?,absent,none,slight,none,?,normal,'distended small intestine','\'(-inf-49.5]\'','\'All\'',clear,?,lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'bright pink',<3,depressed,hypomotile,moderate,?,<1l,'\'All\'',absent,'distended large intestine',?,?,?,?,lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'dark cyanotic',>=3,depressed,absent,moderate,none,none,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',euthanized,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',warm,?,'pale cyanotic',<3,'intermittent mild pain',?,moderate,?,>1l,'\'All\'',decreased,'distended small intestine','\'(49.5-inf)\'','\'All\'',cloudy,?,lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,?,'pale pink',>=3,depressed,normal,none,?,?,?,?,'firm feces in large intestine','\'(-inf-49.5]\'',?,serosanguinous,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale pink',<3,'intermittent severe pain',absent,moderate,slight,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'normal pink',>=3,'alert no pain',hypermotile,none,?,?,?,absent,other,'\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,'intermittent severe pain',hypomotile,none,?,?,?,decreased,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,?,'\'(58-inf)\'','\'(59-inf)\'',cool,normal,'pale cyanotic',<3,depressed,hypomotile,moderate,?,<1l,?,absent,'distended small intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',euthanized,yes
yes,young,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',cold,absent,'dark cyanotic',?,'intermittent mild pain',hypomotile,moderate,?,?,?,normal,?,'\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'pale pink',<3,depressed,hypomotile,slight,none,>1l,?,decreased,?,'\'(-inf-49.5]\'','\'All\'',?,?,euthanized,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,?,'pale pink',<3,depressed,hypomotile,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,'\'All\'',euthanized,yes
yes,adult,?,'\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'alert no pain',normal,none,none,none,?,normal,'distended large intestine','\'(-inf-49.5]\'',?,?,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(59-inf)\'',?,?,'normal pink',<3,?,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,?,'normal pink',<3,'intermittent mild pain',absent,moderate,slight,>1l,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,?,lived,yes
yes,adult,?,?,?,cold,reduced,?,>=3,depressed,absent,none,?,?,?,?,?,'\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'pale pink',<3,'intermittent severe pain',hypermotile,none,none,none,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,euthanized,yes
