,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
4257,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,Public,Rural,Male,,Computer
4258,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,5,4,Yes,Private,Urban,Female,Yes,Mobile
4259,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,No,Private,Rural,Male,No,Computer
4260,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,4,No,Private,Rural,Female,No,Mobile
4261,Upto HSC,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Male,No,Mobile
4262,Hons or Grater,26.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,2,Yes,Private,Rural,Female,,Computer
4263,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,6,3,Yes,Public,Urban,Female,,Mobile
4264,Hons or Grater,23.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,6,3,No,Private,Urban,,Yes,Computer
4265,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,No,Private,Urban,Male,No,Computer
4266,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,4,Yes,Public,Urban,Female,Yes,Mobile
4267,Upto HSC,22.0,Yes,Yes,Yes,No,,Yes,Mobile Internet,5,3,Yes,Public,Urban,Female,No,Mobile
4268,Hons or Grater,22.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Computer
4269,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Female,Yes,Computer
4270,Upto HSC,21.0,Yes,Yes,Yes,Yes,,No,Broadband,4,3,No,Public,Urban,Male,No,Computer
4271,Upto HSC,20.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,5,3,No,Private,Urban,Female,Yes,Computer
4272,Upto HSC,20.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,2,Yes,Private,Rural,Male,Yes,Computer
4273,Upto HSC,18.0,No,Yes,Yes,No,Urban,Yes,Mobile Internet,5,3,No,Public,Rural,Male,Yes,Mobile
4274,Hons or Grater,25.0,No,Yes,No,No,Urban,Yes,Broadband,5,4,No,Private,Urban,Female,Yes,Mobile
4275,Upto HSC,20.0,No,Yes,Yes,Yes,Urban,Yes,Broadband,3,3,Yes,Public,Urban,Female,Yes,Mobile
4276,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,No,Public,Urban,Female,Yes,Computer
4277,Hons or Grater,23.0,Yes,Yes,Yes,Yes,,Yes,Mobile Internet,5,3,No,Public,Rural,Male,No,Mobile
4278,Upto HSC,22.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,3,Yes,Private,Urban,Male,Yes,Mobile
4279,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,Yes,Private,Urban,Male,Yes,Mobile
4280,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,Private,Rural,Female,Yes,Computer
4281,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,4,4,Yes,,Urban,Female,Yes,Computer
4282,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Private,Urban,Male,Yes,Mobile
4283,Hons or Grater,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,2,Yes,Private,Rural,Female,No,Computer
4284,Hons or Grater,25.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Urban,Female,Yes,Computer
4285,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,3,Yes,Private,Rural,Female,No,Mobile
4286,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,2,Yes,Public,Urban,Female,No,Mobile
4287,Upto HSC,22.0,Yes,Yes,Yes,No,Rural,No,Broadband,6,3,Yes,Private,Rural,Male,Yes,Mobile
4288,Hons or Grater,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Female,Yes,Computer
4289,Hons or Grater,24.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,5,2,Yes,Private,,Male,Yes,Computer
4290,Hons or Grater,24.0,Yes,,No,No,Urban,No,Mobile Internet,6,3,No,Private,Urban,Male,Yes,Computer
4291,Upto HSC,18.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,Yes,Public,Urban,Male,Yes,Computer
4292,Hons or Grater,22.0,No,Yes,Yes,Yes,Rural,Yes,Broadband,6,4,No,Public,Urban,Female,No,Mobile
4293,Upto HSC,25.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,5,2,No,Public,Urban,Male,Yes,Mobile
4294,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,2,No,Private,Urban,Female,Yes,Computer
4295,Upto HSC,23.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,4,Yes,Public,,Male,No,Computer
4296,Hons or Grater,23.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,2,No,Private,Urban,Male,No,Computer
4297,Upto HSC,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,4,No,Private,Urban,Female,No,Computer
4298,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Rural,Yes,Mobile Internet,4,3,Yes,Private,,Male,No,Computer
4299,Upto HSC,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,2,No,Private,Urban,Male,Yes,Mobile
4300,Hons or Grater,23.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,4,4,Yes,Private,Rural,Male,No,Computer
4301,Upto HSC,25.0,No,Yes,Yes,Yes,Urban,Yes,Mobile Internet,3,2,Yes,Public,,Female,Yes,Mobile
4302,Upto HSC,18.0,Yes,Yes,No,Yes,,Yes,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Mobile
4303,Upto HSC,20.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,3,No,Private,Urban,Male,Yes,Mobile
4304,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,No,Public,Urban,Female,Yes,Computer
4305,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Rural,Male,Yes,Computer
4306,Upto HSC,19.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,3,3,Yes,Private,Rural,Male,No,Computer
4307,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,6,2,No,Private,Urban,Female,No,Computer
4308,Upto HSC,19.0,No,Yes,Yes,No,Urban,Yes,Mobile Internet,5,2,No,Private,Rural,Male,Yes,Computer
4309,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,No,Private,Rural,Male,Yes,Mobile
4310,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,Yes,,Rural,Female,No,Computer
4311,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,3,2,Yes,Private,Urban,Male,Yes,Computer
4312,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,Yes,Private,Rural,Male,No,Mobile
4313,Upto HSC,16.0,No,Yes,Yes,No,Rural,Yes,Mobile Internet,3,3,No,Public,Rural,Female,Yes,Computer
4314,Hons or Grater,23.0,Yes,Yes,Yes,No,,Yes,Broadband,3,3,Yes,Private,Rural,Male,Yes,Computer
4315,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,6,2,No,Private,Rural,Female,Yes,Mobile
4316,Hons or Grater,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,No,Private,Urban,Female,No,Computer
4317,Upto HSC,21.0,No,Yes,No,No,,Yes,Broadband,4,4,Yes,Public,Urban,Male,No,Mobile
4318,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,Urban,Male,Yes,Mobile
4319,Upto HSC,,Yes,,Yes,No,Urban,Yes,Mobile Internet,4,2,No,Private,Rural,Male,No,Computer
4320,Hons or Grater,,,,No,No,Urban,Yes,Mobile Internet,5,3,No,Public,Rural,Male,No,Computer
4321,Upto HSC,,Yes,Yes,No,No,Urban,No,Mobile Internet,5,2,Yes,Public,Urban,Male,No,Computer
4322,Upto HSC,,,,No,No,Urban,Yes,Broadband,5,4,Yes,,Rural,Male,Yes,Computer
4323,Upto HSC,18.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,4,No,Private,Rural,Male,No,Computer
4324,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Female,Yes,Computer
4325,Hons or Grater,26.0,Yes,Yes,No,No,Rural,Yes,Broadband,4,3,No,Private,Rural,Male,No,Mobile
4326,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Male,No,Mobile
4327,Upto HSC,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Male,Yes,Mobile
4328,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,No,Private,Urban,Male,Yes,Mobile
4329,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,5,4,No,Public,Urban,Male,No,Mobile
4330,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,4,Yes,Public,Urban,Female,Yes,Mobile
4331,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,Yes,Mobile
4332,Upto HSC,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,4,2,No,Private,Rural,Male,No,Computer
4333,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,4,Yes,Private,Rural,Male,,Mobile
4334,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Broadband,4,3,Yes,Public,Urban,Male,Yes,Mobile
4335,Hons or Grater,26.0,Yes,Yes,No,No,Rural,Yes,Broadband,4,3,Yes,Private,,Female,Yes,Computer
4336,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Female,No,Mobile
4337,Hons or Grater,26.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,Yes,Computer
4338,Upto HSC,20.0,Yes,Yes,Yes,No,Rural,Yes,Mobile Internet,5,3,Yes,,Rural,Male,No,Computer
4339,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,No,Private,Rural,,Yes,Computer
4340,Upto HSC,20.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,4,Yes,Private,Rural,Female,No,Computer
4341,Hons or Grater,24.0,Yes,Yes,No,No,Rural,No,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Computer
4342,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,3,No,Private,Rural,Female,Yes,Computer
4343,Hons or Grater,26.0,Yes,Yes,No,No,,Yes,Broadband,5,3,Yes,Private,Rural,Female,No,Mobile
4344,Hons or Grater,25.0,No,Yes,Yes,No,Rural,Yes,Broadband,4,3,No,Private,Urban,Female,No,Computer
4345,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,4,Yes,Private,Rural,Female,No,Mobile
4346,Hons or Grater,26.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,5,2,No,Private,Rural,Female,Yes,Mobile
4347,Hons or Grater,25.0,Yes,Yes,No,No,Urban,No,Broadband,5,2,Yes,Public,Rural,Female,,Computer
4348,Hons or Grater,26.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Male,No,Computer
4349,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,Yes,Public,Urban,Female,Yes,Mobile
4350,Upto HSC,21.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,5,3,No,Private,Urban,Female,Yes,Mobile
4351,Hons or Grater,26.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,3,4,No,,Urban,Female,Yes,Computer
4352,Upto HSC,21.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,6,4,No,Public,Urban,Male,Yes,Computer
4353,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Male,Yes,Computer
4354,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,4,No,Private,,Male,No,Computer
4355,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Public,Rural,Female,Yes,Mobile
4356,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,2,Yes,Private,Rural,Female,,Mobile
4357,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,3,No,Private,Rural,Female,Yes,Computer
4358,Hons or Grater,26.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,2,No,Private,Urban,Male,No,Mobile
4359,Upto HSC,21.0,Yes,Yes,Yes,Yes,Urban,No,Broadband,6,3,No,Private,Urban,Male,Yes,Computer
4360,Upto HSC,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,2,No,Private,Rural,Female,No,Computer
4361,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,3,2,Yes,Private,Rural,Female,Yes,Mobile
4362,Hons or Grater,26.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,6,3,No,Private,Urban,Female,,Computer
4363,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Private,Urban,Male,Yes,Computer
4364,Upto HSC,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,4,No,Public,,Female,Yes,Computer
4365,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Rural,Yes,Broadband,4,3,Yes,Private,Rural,Male,Yes,Computer
4366,Upto HSC,20.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,4,Yes,Private,Rural,Male,No,Mobile
4367,Hons or Grater,25.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,5,3,Yes,Public,Rural,Female,Yes,Computer
4368,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,Yes,Public,Rural,Female,No,Computer
4369,Hons or Grater,25.0,No,Yes,Yes,Yes,Urban,Yes,Broadband,6,3,Yes,Private,Rural,Male,Yes,Computer
4370,Hons or Grater,25.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Female,Yes,Computer
4371,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,,,Yes,Computer
4372,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,3,Yes,Public,Rural,Male,,Mobile
4373,Upto HSC,22.0,Yes,Yes,Yes,No,,No,Mobile Internet,5,4,Yes,Public,Urban,Female,Yes,Mobile
4374,Hons or Grater,21.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,3,4,Yes,Public,Urban,Male,Yes,Mobile
4375,Upto HSC,20.0,No,Yes,No,Yes,Urban,Yes,Broadband,6,4,No,Public,Rural,Female,No,Computer
4376,Hons or Grater,24.0,Yes,,Yes,Yes,Rural,Yes,Mobile Internet,5,3,No,Private,Urban,Female,Yes,Mobile
4377,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,3,3,No,Private,,Male,Yes,Computer
4378,Hons or Grater,22.0,No,Yes,No,No,Urban,Yes,Mobile Internet,5,2,No,Private,Rural,Male,No,Computer
4379,Hons or Grater,23.0,Yes,Yes,No,No,,Yes,Broadband,5,3,No,Private,Rural,Female,No,Computer
4380,Hons or Grater,22.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,5,2,Yes,Private,Urban,Male,Yes,Mobile
4381,Hons or Grater,23.0,No,Yes,Yes,Yes,Rural,Yes,Broadband,4,2,Yes,Private,Rural,,Yes,Computer
4382,Upto HSC,23.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,5,3,Yes,Public,Urban,Female,Yes,Computer
4383,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Private,Rural,Female,No,Computer
4384,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Broadband,4,2,Yes,Public,Urban,,Yes,Computer
4385,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Public,Urban,Female,,Computer
4386,Upto HSC,22.0,No,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Private,Rural,Female,,Computer
4387,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Public,Urban,Male,Yes,Computer
4388,Upto HSC,21.0,Yes,Yes,Yes,Yes,,No,Broadband,6,2,No,Public,Urban,Male,No,Computer
4389,Hons or Grater,24.0,Yes,Yes,Yes,No,Rural,Yes,Mobile Internet,5,4,No,Public,Rural,Female,No,Computer
4390,Hons or Grater,25.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,2,No,Private,Urban,Male,Yes,Computer
4391,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Public,Urban,Male,No,Computer
4392,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,No,Private,Rural,Male,No,Computer
4393,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Private,Rural,Male,Yes,Mobile
4394,Upto HSC,22.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,6,3,No,Public,Rural,Female,Yes,Computer
4395,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,6,2,Yes,Public,Urban,,Yes,Mobile
4396,Hons or Grater,25.0,Yes,Yes,Yes,No,Rural,Yes,Broadband,4,3,Yes,Public,Urban,Female,Yes,Mobile
4397,Upto HSC,21.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,5,4,No,Public,Urban,Male,Yes,Mobile
4398,Upto HSC,20.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Female,Yes,Mobile
4399,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Male,,Mobile
4400,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,2,No,Private,Rural,Male,Yes,Computer
4401,Hons or Grater,26.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,4,4,Yes,Private,Urban,Female,Yes,Mobile
4402,Hons or Grater,25.0,No,Yes,Yes,No,Urban,Yes,Broadband,4,4,Yes,Public,Urban,Male,Yes,Mobile
4403,Hons or Grater,26.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,3,No,Private,Urban,Female,No,Mobile
4404,Hons or Grater,22.0,Yes,Yes,Yes,No,,Yes,Mobile Internet,3,3,No,Private,Urban,Male,Yes,Computer
4405,Hons or Grater,23.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,4,Yes,Public,Rural,Female,No,Computer
4406,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,3,3,No,Public,Urban,Female,,Mobile
4407,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,5,4,No,Private,Rural,,No,Computer
4408,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,4,No,Private,Rural,Female,Yes,Computer
4409,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,Yes,Private,Rural,Male,No,Mobile
4410,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Broadband,4,3,No,Private,Rural,Male,No,Mobile
4411,Upto HSC,21.0,Yes,Yes,Yes,No,Rural,No,Broadband,4,3,No,Public,Rural,Male,,Computer
4412,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,No,Private,Urban,Male,Yes,Computer
4413,Upto HSC,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,6,3,No,Private,Rural,Female,Yes,Computer
4414,Upto HSC,18.0,No,Yes,No,No,Rural,No,Broadband,6,3,Yes,Private,Urban,Female,,Mobile
4415,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,3,3,No,Private,Urban,Male,Yes,Mobile
4416,Upto HSC,20.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,5,4,Yes,Public,Urban,Male,No,Mobile
4417,Upto HSC,20.0,Yes,Yes,No,No,,Yes,Broadband,5,4,No,Private,Urban,Female,No,Mobile
4418,Hons or Grater,25.0,No,Yes,Yes,Yes,Urban,Yes,Mobile Internet,3,4,Yes,Private,Rural,Male,No,Computer
4419,Upto HSC,20.0,No,Yes,No,Yes,Rural,Yes,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Mobile
4420,Upto HSC,21.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,2,Yes,Private,Rural,Male,Yes,Computer
4421,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,4,Yes,Public,Rural,Male,No,Mobile
4422,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,6,4,No,Private,Urban,,No,Computer
4423,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Broadband,4,2,Yes,Private,Urban,Male,Yes,Mobile
4424,Hons or Grater,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,2,Yes,Private,Urban,Female,Yes,Computer
4425,Hons or Grater,23.0,No,Yes,Yes,No,Urban,Yes,Mobile Internet,4,4,Yes,Private,Urban,Male,No,Mobile
4426,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Male,Yes,Computer
4427,Upto HSC,21.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,3,Yes,Public,Urban,Male,Yes,Computer
4428,Upto HSC,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,No,Private,,Male,Yes,Computer
4429,Hons or Grater,25.0,Yes,Yes,No,No,Rural,Yes,Broadband,3,3,No,Private,Urban,Male,,Mobile
4430,Hons or Grater,26.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,3,No,Private,Urban,Male,Yes,Computer
4431,Upto HSC,22.0,No,Yes,No,Yes,Urban,Yes,Broadband,6,2,No,Public,Urban,,No,Mobile
4432,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,5,3,No,Public,Rural,Male,Yes,Computer
4433,Hons or Grater,25.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,Rural,Male,No,Computer
4434,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,Yes,Broadband,4,2,Yes,Public,Rural,Male,No,Computer
4435,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Female,Yes,Computer
4436,Upto HSC,21.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,6,2,Yes,Private,Rural,Male,Yes,Computer
4437,Hons or Grater,22.0,Yes,Yes,No,No,,Yes,Broadband,5,2,No,Private,Urban,Male,Yes,Mobile
4438,Hons or Grater,25.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,5,2,No,Private,Urban,Female,No,Computer
4439,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,3,No,Private,Urban,Male,Yes,Mobile
4440,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Broadband,4,3,Yes,Private,Rural,Male,,Computer
4441,Upto HSC,22.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,6,3,Yes,Public,Rural,Female,Yes,Computer
4442,Hons or Grater,21.0,Yes,Yes,Yes,Yes,Urban,Yes,Mobile Internet,5,4,Yes,Public,Rural,Male,Yes,Mobile
4443,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,Yes,Mobile Internet,6,2,Yes,Private,Urban,Female,,Computer
4444,Hons or Grater,24.0,Yes,,No,Yes,Rural,No,Mobile Internet,4,2,Yes,,Rural,Female,Yes,Mobile
4445,Upto HSC,24.0,No,Yes,No,No,Urban,Yes,Broadband,5,4,No,Private,Urban,Female,Yes,Computer
4446,Hons or Grater,22.0,No,Yes,Yes,No,Urban,Yes,Mobile Internet,4,4,No,Private,Rural,Male,No,Mobile
4447,Upto HSC,18.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,3,2,Yes,Private,Rural,Female,Yes,Computer
4448,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,No,Private,Urban,Female,Yes,Mobile
4449,Upto HSC,18.0,Yes,Yes,No,No,,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,Yes,Computer
4450,Upto HSC,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,Private,,,Yes,Mobile
4451,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,6,2,Yes,Private,Urban,Female,Yes,Mobile
4452,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Male,Yes,Mobile
4453,Hons or Grater,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,3,No,Public,Urban,Female,No,Computer
4454,Upto HSC,19.0,No,Yes,Yes,No,Urban,Yes,Broadband,6,3,Yes,Private,Urban,Female,Yes,Computer
4455,Hons or Grater,26.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Computer
4456,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,No,Broadband,6,3,No,Public,Urban,,No,Mobile
4457,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,Yes,Broadband,4,2,Yes,,Urban,Female,Yes,Mobile
4458,Hons or Grater,25.0,Yes,Yes,Yes,No,Rural,Yes,Mobile Internet,3,3,No,,Rural,Male,Yes,Computer
4459,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Public,Rural,Female,Yes,Mobile
4460,Hons or Grater,25.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Computer
4461,Hons or Grater,25.0,No,Yes,No,No,Urban,Yes,Mobile Internet,5,4,No,Private,Urban,Male,No,Computer
4462,Upto HSC,20.0,No,Yes,No,Yes,Urban,Yes,Broadband,5,2,No,Private,Urban,,No,Computer
4463,Hons or Grater,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,6,4,No,Public,Urban,Male,Yes,Computer
4464,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,4,No,Private,,Male,,Mobile
4465,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Male,No,Mobile
